,Date,Email,NPS Score
0,2018-03-13,Angel.Armwood@cbre.com,7
1,2018-03-23,Alaine.Arjona@cbre.com,6
2,2018-05-06,Cheyenne.Callaghan@cbre.com,6
3,2018-05-24,Selene.Shilling@cbre.com,8
4,2018-06-05,Angel.Armwood@cbre.com,9
5,2018-06-13,Nicholle.Navarre@cbre.com,3
6,2018-07-03,Kasi.Kreiner@cbre.com,7
7,2018-07-18,Alaine.Arjona@cbre.com,10
8,2018-07-19,Hortense.Haden@cbre.com,6
9,2018-07-25,Nelia.Nishioka@cbre.com,4
10,2018-07-31,Willie.Wan@cbre.com,4
11,2018-08-04,Selene.Shilling@cbre.com,7
12,2018-08-12,Nicholle.Navarre@cbre.com,7
13,2018-08-21,Nenita.Noga@cbre.com,9
14,2018-08-22,Angel.Armwood@cbre.com,10
15,2018-08-24,Kasi.Kreiner@cbre.com,8
16,2018-08-25,Magdalene.Minton@cbre.com,9
17,2018-08-28,Graig.Gomez@cbre.com,3
18,2018-08-29,Cheyenne.Callaghan@cbre.com,8
19,2018-09-04,Penni.Parcell@cbre.com,9
20,2018-09-06,Hortense.Haden@cbre.com,6
21,2018-09-09,Nenita.Noga@cbre.com,7
22,2018-09-13,Selene.Shilling@cbre.com,10
23,2018-09-21,Wes.Wacker@cbre.com,6
24,2018-09-23,Magdalene.Minton@cbre.com,8
25,2018-09-25,Kasi.Kreiner@cbre.com,9
26,2018-09-30,Melanie.Mccawley@cbre.com,6
27,2018-10-14,Nenita.Noga@cbre.com,8
28,2018-10-20,Graig.Gomez@cbre.com,6
29,2018-10-21,Shirl.Selander@cbre.com,9
30,2018-10-22,Willie.Wan@cbre.com,8
31,2018-10-24,Pok.Phung@cbre.com,6
32,2018-10-24,Wes.Wacker@cbre.com,7
33,2018-10-27,Selene.Shilling@cbre.com,10
34,2018-11-02,Regena.Redden@cbre.com,7
35,2018-11-03,Nicholle.Navarre@cbre.com,5
36,2018-11-04,Graig.Gomez@cbre.com,7
37,2018-11-13,Alaine.Arjona@cbre.com,10
38,2018-11-13,Shirl.Selander@cbre.com,10
39,2018-11-15,Nelia.Nishioka@cbre.com,6
40,2018-11-15,Angel.Armwood@cbre.com,10
41,2018-11-19,Cheyenne.Callaghan@cbre.com,10
42,2018-11-24,Kirstin.Kerr@cbre.com,7
43,2018-11-28,Genevie.Gamblin@cbre.com,4
44,2018-11-29,Nicholle.Navarre@cbre.com,9
45,2018-12-01,Penni.Parcell@cbre.com,10
46,2018-12-07,Hortense.Haden@cbre.com,7
47,2018-12-07,Pearlie.Papp@cbre.com,4
48,2018-12-08,Selene.Shilling@cbre.com,10
49,2018-12-12,Beverley.Burchard@cbre.com,9
50,2018-12-15,Felica.Feiler@cbre.com,3
51,2018-12-16,Soon.Salls@cbre.com,7
52,2018-12-17,Penni.Parcell@cbre.com,10
53,2018-12-18,Nelia.Nishioka@cbre.com,7
54,2018-12-19,Franklin.Fajardo@cbre.com,3
55,2018-12-24,Shirl.Selander@cbre.com,9
56,2018-12-25,Wes.Wacker@cbre.com,8
57,2018-12-25,Ardath.Ascher@cbre.com,9
58,2018-12-26,Alaine.Arjona@cbre.com,10
59,2018-12-27,Pok.Phung@cbre.com,7
60,2018-12-28,Jaye.Janusz@cbre.com,9
61,2018-12-30,Willie.Wan@cbre.com,9
62,2019-01-01,Hortense.Haden@cbre.com,6
63,2019-01-11,Nenita.Noga@cbre.com,10
64,2019-01-11,Dorie.Dedrick@cbre.com,6
65,2019-01-12,Magdalene.Minton@cbre.com,10
66,2019-01-14,Angel.Armwood@cbre.com,10
67,2019-01-16,Kasi.Kreiner@cbre.com,10
68,2019-01-19,Beverley.Burchard@cbre.com,8
69,2019-01-19,Franklin.Fajardo@cbre.com,5
70,2019-01-23,Lorie.Ludlow@cbre.com,6
71,2019-01-24,Melanie.Mccawley@cbre.com,7
72,2019-01-24,Cheyenne.Callaghan@cbre.com,9
73,2019-01-29,Vanita.Ventimiglia@cbre.com,4
74,2019-01-31,Pinkie.Pallas@cbre.com,6
75,2019-01-31,Nicholle.Navarre@cbre.com,9
76,2019-02-02,Nelia.Nishioka@cbre.com,8
77,2019-02-07,Rolland.Rackley@cbre.com,4
78,2019-02-10,Delana.Denn@cbre.com,7
79,2019-02-13,Regena.Redden@cbre.com,7
80,2019-02-16,Rita.Rohlfing@cbre.com,7
81,2019-02-17,Pearlie.Papp@cbre.com,7
82,2019-02-18,Nenita.Noga@cbre.com,10
83,2019-02-23,Rolland.Rackley@cbre.com,7
84,2019-02-24,Dorie.Dedrick@cbre.com,9
85,2019-03-03,Graig.Gomez@cbre.com,7
86,2019-03-06,Pinkie.Pallas@cbre.com,8
87,2019-03-09,Genevie.Gamblin@cbre.com,5
88,2019-03-10,Kirstin.Kerr@cbre.com,7
89,2019-03-10,Lorie.Ludlow@cbre.com,8
